subject;question;option1;option2;option3;option4;answer;image
MAT;Evaluate: $ \lim_{h \to 8} \frac{2h^{2} - 17h + 8}{8 - h} $;8;Not Defined;0;-15;d;FALSE
MAT;"A project is planned to be completed in 45 days by 30 workers. If the contractor wants to finish it in 36 days, how many additional workers must be hired?";8;9;10;12;a;FALSE
MAT;"The monthly minimum charge for 100 local calls of 3 minutes duration is Rs. 150. The charge for each extra call of 3 minutes duration is Rs. 4. If a household paid Rs. 630 for a month including 10% TSC and 10% VAT, how many extra calls were made in the month?";90;94;96;92;b;FALSE
MAT;"A shopkeeper incurs a loss of Rs. 50 when offering a 10% discount on the marked price. However, he makes a profit of Rs. 50 when offering a 5% discount. Find the marked price of the item.";Rs. 1000;Rs. 1200;Rs. 1500;Rs. 2000;d;FALSE
MAT;"If $sina = \frac{3}{4}$, find $sin2a.$";$12/25$;$24/25$;$\frac{3\sqrt{7}}{8}$;$\frac{\sqrt{13}}{25}$;c;FALSE
MAT;"The value of x such that AB=BC, where A, B, C are the points (6, 1), (1, 3), and (x, 8), respectively will be:";5 or -3;2 or -3;5 or 1;None;a;FALSE
MAT;"The equation of the circle whose center is (3, 4) and which touches the line $5x + 12y - 1 = 0$ is:";$x^{2}+y^{2}-6x-8y+\frac{381}{169}=0$;$x^{2}+y^{2}-6x-8y+\frac{291}{169}=0$;$x^{2}+y^{2}-6x-8y+\frac{263}{169}=0$;None of the above;a;FALSE
MAT;"If $y=|x-1|$ and $y = 3 - |x|$, what is the area bounded by these curves?";16 sq. units;4 sq. units;8 sq. units;2 sq. units;a;FALSE
MAT;"From the given figure, find the length of BD.";2 cm;2.5 cm;3.5 cm;4 cm;d;D:\Projects\Web Projects\ace-the-entrance\config\media\sxcmodelset\picture2.png
MAT;A solid hemisphere has radius 21 cm. It is melted to form a cylinder such that the ratio of its curved surface area to total surface area is 2:5. What is the radius (in cm) of its base?;23 cm;21 cm;19 cm;25 cm;a;FALSE
MAT;"For the continuous data below, what is the median class? $$ \begin{array}{|c|c|} \hline \text{Marks} & \text{No. of Students (f)} \\ \hline 10-20 & 5 \\ \hline 20-30 & 4 \\ \hline 30-40 & 9 \\ \hline 40-50 & 2 \\ \hline \end{array} $$";$10-20$;$30-40$;$20-30$;$40-50$;b;FALSE
MAT;A card is drawn from a standard deck of 52 cards. What is the probability of drawing a heart or a queen?;16/52;4/13;17/52;13/52;b;FALSE
MAT;"Find the LCM of: $3a^{2}+9ab,\ 2a^{3}-18ab^{2},\ a^{3}+6a^{2}+9ab^{2}$";$(a-3b)$;$3a(a+3b)(a-3b)$;$6a(a+3b)(a-3b)^{2}$;$6a(a+3b)^{2}(a-3b)$;b;FALSE
MAT;A light pole of height 200 m has angles of depression $30^\circ$ and $45^\circ$ to two ships in opposite directions. Find distance between ships.;300.5 m;400.2 m;709.1 m;546.4 m;d;FALSE
MAT;"If angle between unit vectors $\vec{A}\ and\ \vec{B}\ is\ 60^\circ,\ then\ |\vec{A} - \vec{B}|\ =\ $";1;2;4;$\vec{A}$;d;FALSE
