subject,topic,question_text,choice1,choice2,choice3,choice4,correct_answer
GKIQ,gk,Which Nepali novel is considered the first modern novel of Nepal?,Seto Bagh,Basain,Bir Charitra,Muna Madan,Basain
GKIQ,gk,Who was the first woman to win a Nobel Prize?,Rosalind Franklin,Marie Curie,Dorothy Hodgkin,Ada Lovelace,Marie Curie
GKIQ,gk,What is the official motto of Nepal?,Nation above all,Truth Alone Triumphs,Mother and Motherland are greater than Heaven,Unity in Diversity,Mother and Motherland are greater than Heaven
Physics,Heat,The specific heat capacity of water is:,$4500 J/kg^{o}C$,$4200 J/kg^{o}C$,$400 J/kg^{o}C$,$4000 J/kg^{o}C$,$4200 J/kg^{o}C$
Physics,Dynamics,A cart starts from the rest and acclerates uniformly. Find the distance traveled by the car in the 6th second of its motion if the acceleration is $4m/s^2$.,28m,30m,22m,34m,22m
Physics,WorkEnergyPower,Two bodies of masses m and 4m are moving with equal kinecic energ. The ratio of their linear momentum is:, 1:1, 2:1, 1:2, 1:4, 2:1
Physics,Pressure,"A boat carrying a large heavy rock is floating in a small swimming pool. If the driver throws the rock overboard and it sinks to the bottom of the pool, the water level of the pool will:",Rise,Fall,Stay the same,Rise then fall back to the original level, Fall
Physics,ElectricityMagnetism,Faraday's Law of Electromagnetic induction gives the concept of:,Induced Current,Alternating Current,Direct Current,Water Current,Induced Current
Physics,ElectricityMagnetism,A charge of 5C flows through a conductor in 2 seconds. What is the current in the conductor?,2.5A,10A,1.5A,5A,2.5A
Physics,Optics,"When light travels from air into a glass block, which of these properties of the light wave does not change?",Velocity,Wavelength,Frequency,Direction,Frequency
Physics,Gravitation,"If the gravitational constant (G) were to increas, what effect would it have on the escape velocity of Earth?",It would increase,It would remain the same,It would decrease,It would become zero,It would increase
Physics,Heat,"If you double the absolute temperature (Kelvin) of an ideal gas in a rigid, sealed container, what happens to the pressure?",Stays the same,Reduced by Half,Doubles,Increases by Four times,Doubles
Physics,WaveSound,"If the distance between the sound source and the listener is doubled, how does the intensity of sound change?",Becomes half,Becomes one-fourth,Remains the same,Becomes twice,Becomes one-fourth
Chemistry,MetalsNonMetals,Which of the following is called philosopher's wool?,$MgO$,$ZnO$,$CaO$,$ZnS$,$ZnO$
Chemistry,MaterialsUsedDaily,Led Pencil contains:,$Pb$,$Fe_{2}$,C,PbS,C
Chemistry,StateOfMatter,Which of the following method is used to separate volatile solids?,Filtration,Sublimation,Distillation,Extraction,Sublimation
Chemistry,MetalsNonMetals,Galena is the ore of:,Silver,Gold,Potassium,Lead,Lead
Chemistry,AtomsMolecules,Atomic weight of Nitrogen is:,7 amu,7 gm,14 gm,14 amu,14 amu
Chemistry,SomeGases,Solvay's process is used in the manufacture of:,Sodium Bicarbonate,Sodium Hydroxide,Sodium,Nitric Acid,Sodium Bicarbonate
Chemistry,PeriodTable,The noble gas which was first discovered in Sun and then in Earth was:,Argon,Xenon,Helium,Neon,Neon
Chemistry,OrganicChemistry,Which of the following is the functional group of alcohol?,$-COOH$,$-OH$,$-O-$,$-Al$,$-OH$
Chemistry,PeriodTable,Which of the following is the most electronegative element?,Sodium,Oxygen,Sulphur,Fluorine,Fluorine
Chemistry,PeriodTable,First man made element is:,Technetium,Plutonium,Platinum,Palladium,Technetium
Biology,HumanSystem,Which part of eye is formed by?,Cornea,Choroid,Retina,Conjunctiva,Cornea
Biology,Ecology,The pupal stage is active in life cycle of:,Mosquito,Bees,Silkworm,None,Bees
Biology,AnimalClassification,Which belongs to Platyhelminthes?,Liver Fluke,Tapeworm,Blood Fluke,All,All
Biology,HumanSystem,Largest organ of body is:,Thyroid,Skin,Liver ,None,Skin
Biology,AnimalClassification,Pisces have ____ chambered heart.,2,3,4,2 and a half,2
Biology,PlantDiversity,Arrangement of flowers in a plant is called:,Inflorescence,Vennation,Aestivation,Floriculture,Inflorescence
Biology,PlantDiversity,Cycas is:,Monoecious,Dioecious,Sterile,None,Dioecious
Biology,IntroductionToBiology,Who introduced and defined the term Animal Species?,Aristotle,Linnaeus,Engler and Prantl,John Ray,John Ray
Biology,CellBiology,Life span of RBC is:,50 days,75 days,120 days,1000 days,120 days
Biology,IntroductionToBiology,No vaccine is available to prevent:,Polio,TB,Tetanus,AIDS,AIDS
Maths,Arithmetic,The formula for crude birth rate is:,$\frac{B}{P} \times 1000$,$\frac{B}{P} \times 100$,$\frac{P}{B} \times 100$,None,$\frac{B}{P} \times 1000$
Maths,QuadraticEquation,The roots of the equation $ax^{2}+bx+c=0$ are equal but reciprocal then:,a=b,a=c,b=c,b=0,a=c
Maths,Set,The elements in the power set of a non-empty set A are:,Intervals,Numbers,Integers,Sets,Sets
Maths,Geometry,"If a triangle of base 6 has same area as a circle of radius 6, whats the altitude of the triangle?",$6\pi$,$8\pi$,$10\pi$,$12\pi$,$12\pi$
Maths,CoordinateGeometry,Slope of the line $ xcosA + ysinA = p$ is:,$tanA$,$cotA$,$-tanA$,$-cotA$,$-cotA$
Maths,CoordinateGeometry,The perpendicular distance between the lines $2x+3y=5$ and $8x+12y-7=0$ is:,2,$\frac{\sqrt{13}}{4}$,$\frac{13}{4}$,None,$\frac{\sqrt{13}}{4}$
Maths,Probability,Three coins are tossed together.  Find the probability of getting at least two heads?, 1/8, 3/8, 1/2, 1/4, 1/2
Maths,SequenceSeries,"If 13, p, q, r , 29 are in A.P. Find the value of r:",25,17,21,24,25
Maths,Arithmetic,"If price is reduced by 25% and sales increases by 20%, what is the net effect on gross receipts?",Increase by 25%,Decrease by 5%,Increase by 10%,Decrease by 10%,Decrease by 10%
Maths,Mensuration,The surface area of a cube is 150 sq. ft. Calculate the volume.,30 cft,50 cft,100 cft,125 cft,125 cft
English,Tense,I ___ call you later.,will,will be,will calling,will call,will
English,Connectives,"She couldn't attend the party, ___ she a had prior commitment.",and,but,because,if,because
English,ReportedSpeech,He said that it ___ a beautiful day.,is,was,will be,has been,was
English,Prepositions,There is a tree ___ the house.,under,behind,at,by,behind
English,QuestionTag,"They can swim well, ___ ?",can't they?,doesn't they?,don't they?,couldn't they?,can't they?
English,Articles,"Which article should be used before abbreviations pronounced as individual letters (e.g. ""FBI"")?",A,An,The,None,An
English,CausativeVerbs,The teacher ___ us rewrite the essay.,Let,Got,Allowed,Had,Had
English,CausativeVerbs,Which of the following is incorrect?,We made her to apologize.,He had his assistant call the client.,She got her nails painted.,They let their kids play outside.,We made her to apologize.
English,Articles,"""The"" is used when referring to:",A specific noun,A general noun,An unknown noun,None,A specific noun
English,Connectives,"He was ill; ___, he went to work.",therefore,so,however,because,however
GKIQ,iq,"What comes next in the sequence? 2, 6, 12, 20, 30, ___",42,40,44,46,42
GKIQ,iq,"Which number is the odd one out? 3, 5, 7, 11, 14, 17",5,11,14,17,14
GKIQ,iq,"If ALL SQUARES are RECTANGLES, and SOME RECTANGLES are TRIANGLES, which of the following is definitely true?",All squares are triangles,Some rectangles are not squares,Some triangles are squares,Not enough information,All squares are triangles
GKIQ,iq,"Mirror image of the word ""BIRD"" will have the letter ""D"" as:",D,b,Reversed D,d,Reversed D
GKIQ,iq,Which of the following is the heaviest?,1 kg of cotton,1000 grams of iron,2 pounds of rice,All are equal,1 kg of cotton
GKIQ,gk,"Which planet is known as the ""Red Planet""?",Mars,Venus,Jupiter,Saturn,Mars
GKIQ,gk,What is the capital of Australia?,Sydney,Melbourne,Perth,Canberra,Canberra
GKIQ,gk,Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Carbon dioxide
GKIQ,gk,When is Nepal's Constitution Day celebrated?,15th August,19th September,20th September,26th October,19th September
GKIQ,gk,Which of the following is Nepal's national game?,Cricket,Kabaddi,Football,Volleyball,Volleyball
Physics,UnitsDimensions,One bar is equivalent to:,$10^{4}pa$,$10^{5}pa$,$10^{6}pa$,$10^{7}pa$,$10^{5}pa$
Physics,Optics,The sky appears blue because:,Blue light is absorbed,Is its natural color,Blue light is most scattered,Red light is absorbed,Blue light is most scattered
Physics,Universe,How many days does moon take to complete revolution?,53/2 days,57/2 days,82/3 days,59/2 days,59/2 days
Physics,ElectricityMagnetism,Who discovered neutron?,Thomson,Chadwick,Rutherford,Bohr,Rutherford
Physics,Gravitation,"When the earth suddenly stops moving, weight of the body at pole:",Increases,Decreases,Remains the same,First increases then decreases,Decreases
Physics,Heat,What is the specific heat capacity of Air?,,$129 J/kg.^{\circ}C$,$790 J/kg.^{\circ}C$,$840 J/kg.^{\circ}C$,$1010 J/kg.^{\circ}C$
Physics,WaveSound,The velocity of sound is independent of:,Pressure,Frequency,Wave Length,Temperature,Frequency
Physics,ElectricityMagnetism,"In parallel combination of electric circuit, which of the following parameter is constant?",Electric Current,Electric Voltage,Electric Power,Resistance,Electric Voltage
Physics,ElectricityMagnetism,Magnet _____ doesn't exist.,Monopole,Dipole,Meridian,Field,Dipole
Physics,Gravitation,When two bodies having masses of 1 gram are seperated by a distance of 1cm. The force of attraction would be:,$6.67 \times 10^{-11}N$,$6.67 \times 10^{-8}Dyne$,$6.67 \times 10^{-13}N$,Both b & c,$6.67 \times 10^{-8}Dyne$
Chemistry,AtomsMolecules,Which property of element is always a whole number?,Atomic Weight,Atomic Number,Equivalent Weight,Atomic Volume,Atomic Number
Chemistry,ChemicalReaction,The substance that accelerates a chemical reaction without being consumed is called:,Catalyst,Solvent,Reactant,Product,Catalyst
Chemistry,MetalsNonMetals,Which of the following is not an ore of sulphur?,Galena,Iron Pyrites,Zinc Blende,Malachite,Malachite
Chemistry,AcidBaseSalt,Which of the following is the property of acids?,Bitter Taste,Turns blue litmus red,Slippery Feel,Turns red litmus blue,Turns blue litmus red
Chemistry,MaterialsUsedDaily,A polymer is a large molecule made by:,Breaking Down Monomers,Joining Together Monomers,Combining Atoms,Adding Electrolytle,Joining Together Monomers
Chemistry,SomeGases,The gas produced during respiration is:,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Carbon Dioxide
Chemistry,SomeGases,Oxygen gas is absorbed by:,Turpentile Oil,Conc. Sulphuric Acid,Heated Magnesium,Alkaline Pyrogallol,Alkaline Pyrogallol
Chemistry,ChemicalReaction,The strongest reducing agent is:,K,Mg,Br,Al,K
Chemistry,AcidBaseSalt,Antacid is:,Magnesium Hydroxide,Potassium Hydroxide,Calcium Hydroxide,Hydrochloric Acid,Magnesium Hydroxide
Chemistry,MaterialsUsedDaily,Main constituent of the cement is:,$CuO$,$Fe$,$CaO$,$Na_{2}O$,$CaO$
Biology,Ecology,National bird of Nepal is:,Pigeon,Lophophorous,Pavo,None,Lophophorous
Biology,HumanSystem,Structural and functional unit of Kidney is:,Ureter,Nephrons,Uriniferous tubules,Both b and c,Both b and c
Biology,OriginEvolution,Study of rudimentary organs is:,Etiology,Dysteology,Chirology,None,Dysteology
Biology,IntroductionToBiology,Biology is concerned with:,Biomass,Organism,Organic Mass,DNA,Organism
Biology,AnimalClassification,Basic unit of taxonomy is:,Genus,Species,Order,Class,Species
Biology,PlantDiversity,During grafting rooted part of the plant is called:,Scion,Stock,Graft,Rod,Stock
Biology,PlantDiversity,The tissue that increase length of plant is called:,Apical Meristem,Lateral Meristem,Intercalary Meristem,Xylem,Apical Meristem
Biology,OriginEvolution,Which of the following is the vestigial organ.,Appendix,Wisdom Teeth,Nicitating Membrane,All of the above,All of the above
Biology,CellBiology,Sub unit of 80s ribosome is:,50s + 30s,60s + 40s,40s + 40s,60s + 20s,60s + 40s
Biology,HumanSystem,Which component of blood is responsible for clotting.,RBC,WBC,Plasma,Platelets,Platelets
Maths,Arithmetic,What is 10% of 20% of 30%?,0.01%,0.60%,6%,60%,0.60%
Maths,CoordinateGeometry,"A(-1,3), B(1,-1), C(5,1) are vertices of a triangle. Find the length of median through A:",5,4,3,1,5
Maths,Set,Which of the following is equal to A-B?,$A \cap B$,$A\capB'$,$B-A$,$A\cupB$,$A \cap B$
Maths,Arithmetic,5 men take 6 days to complete a piece of work. How many days does it take to complete the same work by 15 men?,4 days,3 days,2 days,1 day,2 days
Maths,Probability,What is probability of getting a sum of 6 or 5 on one of the dice when two dices are rolled?,7/18,1/7,3/15,None,None
Maths,Vector,"If�a and b are unit vectors such that: a.b = cosA, then |a+b| is:",2cosA/2,2sinA/2,cosA/2,sinA/2,2sinA/2
Maths,Algebra,"If $b^2 = ac$ and $a^x=b^y=c^z$, then $\frac{1}{x}+\frac{1}{z}$ = ",$\frac{2}{y}$,$\frac{1}{y}$,$y^{2}$,None,$\frac{2}{y}$
Maths,Mensuration,The total surface area of a hemisphere with radius 'r' is:,$2\pi r^2$,$3\pi r^2$,$4\pi r^2$,$5\pi r^2$,$3\pi r^2$
Maths,Algebra,"If HCF and LCM of two numbers are x and y and one of the two numbers is z, then other will be:",xz/y,x/y,xy/z,z/xy,xy/z
Maths,Indices,"If $m^4+n^4=0$, find the value of 9m - 5n?",9,5,4,0,0
English,Prepositions,I have been waiting ___ 10 minutes.,from,since,for,in,for
English,Voice,I sent her a parcel. Convert to passive:,She was sent a parcel by me.,A parcel was sent to her by me.,Both a and b,None,Both a and b
English,IWish,I wish it ___ my birthday every day.,is,was,will be,were,will be
English,Connectives,"I will go to the concert, ___ I have enough money.",unless,or,if,because,if
English,Articles,"Fill in the blank: ""There is ___ apple on the table.""",A,An,The,No article,An
English,Conditionals,I would have been swept away by the flood had I not ___ myself against the tree trunk.,tied,leaned,braced,held,tied
English,Tense,My sister enjoy ___ to folk songs.,to listen,listening,listened,listen,listening
English,SubjectVerbAgreement,Neither of the newspapers ___ arrived.,has,have,had,is,has
English,Tense,I ___ my sister since Dashain last year.,haven't seen,didn't see,couldn't see,hadn't seen,haven't seen
English,QuestionTag,"You will wait for her, ___?",don't you,aren't you,won't you,didn't you,won't you
GKIQ,iq,"What comes next in the sequence? 5, 10, 20, 40, ?",50,60,80,100,80
GKIQ,iq,"If ""APPLE"" is coded as ""CRRNG,"" how is ""ORANGE"" coded?",QTCPIG,QTBQJG,QTAPIG,QTCQJG,QTCPIG
GKIQ,iq,"Which shape completes the pattern? $\odot, \triangle, \square, \odot, \triange, $",$\odot$,$\triangle$,$\square$,None,$\square$
GKIQ,iq,"If all dogs are animals and some animals are pets, then:",All dogs are pets,Some dogs are pets,No dogs are pets,None of the above,None of the above
GKIQ,iq,A clock shows 3:15. What is the angle between the hour and minute hands?,$0^{\circ}$,$7.5^{\circ}$,$15^{\circ}$,$30^{\circ}$,$7.5^{\circ}$
GKIQ,gk,"Who is known as the ""Father of the Nation"" in Nepal?",King Prithvi Narayan Shah,King Birendra,BP Koirala,Pushpa Kamal Dahal,King Prithvi Narayan Shah
GKIQ,gk,Which is the largest planet in our solar system?,Earth,Jupiter,Saturn,Mars,Jupiter
GKIQ,gk,What is the capital of India?,Mumbai,Kolkata,New Delhi,Chennai,New Delhi
GKIQ,gk,Which is the longest river in the world?,Amazon,Nile,Ganges,Yangtze,Nile
GKIQ,gk,When was Nepal declared a republic?,2006,2007,2008,2010,2008
